"recdate"|"mapunittextkind"|"textcat"|"textsubcat"|"text"|"mukey"|"mutextkey"
""|"Nontechnical description"|"WSG"|"028"|"4f2 - Rock fragments cause seedling mortality to increase during dry periods. Erosion hazards increase with slope. Important commercial tree species include loblolly pine, shortleaf pine, and longleaf pine. These soils are suited for pines, and the site index for loblolly pine is 70. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 130 board feet (Doyle rule) per acre per year. Native species important to wildlife include red oak, post oak, American beautyberry, and tickclover. High value grasses and forbs used by livestock include pinehill bluestem, big bluestem, longleaf uniola, indiangrass, and sedge. Stocking rates depend on canopy density and range from 6-40 acres per animal unit."|575638|2701026
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8C"|"8C - LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and friable loamy subsoils; slopes 0 to 8 percent; medium natural fertility; medium to high water holding capacity with good plant-soil-moisture relationship; medium to high production potential."|575638|2701027
""|"Nontechnical description"|"WSG"|"018"|"3o1 - No significant management problems are caused by soil characteristics. Important commercial tree species include loblolly pine and shortleaf pine. These soils are suited for pine, and the site index for loblolly pine is 80. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 230 board feet (Doyle rule) per acre per year. Native species important to wildlife include red oak, white oak, American beautyberry, and yaupon. High value grasses and forbs used by livestock include pinehill bluestem, big bluestem, longleaf uniola, indiangrass, and beaked panicum. Stocking rates depend on canopy density and range from 8-50 acres per animal unit."|575639|2700996
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8C"|"8C - LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and friable loamy subsoils; slopes 0 to 8 percent; medium natural fertility; medium to high water holding capacity with good plant-soil-moisture relationship; medium to high production potential."|575639|2700997
""|"Nontechnical description"|"WSG"|"026"|"4c3 - Equipment limitations and seedling mortality may be severe during wet periods. Erosion will increase with slope. Important commercial tree species include loblolly pine and shortleaf pine. These soils are suited for pines, and the site index for loblolly pine is 70. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 130 board feet (Doyle rule) per acre per year. Native species important to wildlife include red oak, post oak, American beautyberry, and tickclover. High value grasses and forbs used by livestock include pinehill bluestem, big bluestem, indiangrass, and longleaf uniola. Stocking rates depend on canopy density and range from 7-80 acres per animal unit."|575641|2701028
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8A"|"8A - TIGHT LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and dense subsoils; slopes 0 to 5 percent; low natural fertility; seasonally wet or droughty; medium water holding capacity but poor to fair plant-soil-moisture relationship; medium to high production potential."|575641|2701029
""|"Nontechnical description"|"WSG"|"012"|"2w8 - Seasonal wetness may cause moderate equipment limitations and plant competition. Important commercial tree species include loblolly pine, shortleaf pine, sweetgum, and red oak. These soils are suited for pine and hardwoods, and the site index for loblolly pine and sweetgum is 90. The yield from an unmanaged stand over a 50-year period is approximately 330 board feet (Doyle rule) for loblolly pine, or 210 for sweetgum per acre per year. Native species important to wildlife include water oak, red oak, yaupon, American beautyberry, and Alabama supplejack. High value grasses and forbs used by livestock include pinehill bluestem, longleaf uniola, virginia wildrye, switchgrass, and beaked panicum. Stocking rates depend on canopy density and range from 6-60 acres per animal unit."|575642|2701030
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8E1"|"8E1 - SLIGHTLY WET UPLAND - Deep and very deep, loamy uplands; wet during cool seasons; somewhat poorly drained; mainly tight subsoils; medium natural fertility; Very high to high water holding capacity with fair to good plant-soil-moisture relationship; medium to high production potential."|575642|2701031
""|"Nontechnical description"|"WSG"|"015"|"3c8 - Clayey texture may cause moderate equipment limitations, and erosion hazards will increase with slope. Important commercial tree species include loblolly pine, shortleaf pine, sweetgum, and red oak. These soils are suited for pine and hardwoods, and the site index for loblolly pine is 80. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 230 board feet (Doyle rule) or 120 for sweetgum per acre per year. Native species important to wildlife include red oak, water oak, white oak, American beautyberry, and yaupon. High value grasses and forbs used by livestock include pinehill bluestem, big bluestem, indiangrass, longleaf uniola, and purpletop tridens. Stocking rates depend on canopy density and range fro 6-40 acres per animal unit."|575643|2701032
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"7H"|"7H - TIGHT CLAYEY UPLAND - Deep and very deep, tight clayey or clay loam uplands; dense clayey subsoils; slopes 0 to 5 percent; medium natural fertility; medium water holding capacity but poor plant-soil-moisture relationship; seasonally wet or droughty; medium to high production potential."|575643|2701033
""|"Nontechnical description"|"WSG"|"015"|"3c8 - Clayey texture may cause moderate equipment limitations, and erosion hazards will increase with slope. Important commercial tree species include loblolly pine, shortleaf pine, sweetgum, and red oak. These soils are suited for pine and hardwoods, and the site index for loblolly pine is 80. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 230 board feet (Doyle rule) or 120 for sweetgum per acre per year. Native species important to wildlife include red oak, water oak, white oak, American beautyberry, and yaupon. High value grasses and forbs used by livestock include pinehill bluestem, big bluestem, indiangrass, longleaf uniola, and purpletop tridens. Stocking rates depend on canopy density and range fro 6-40 acres per animal unit."|575644|2701034
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"7I"|"7I - SLOPING TIGHT CLAYEY UPLAND - Deep and very deep, tight clayey or clay loam uplands; dense subsoils; slopes greater than 5 percent; medium natural fertility; medium water holding capacity but poor plant-soil-moisture relationship; seasonally wet or droughty; medium production potential."|575644|2701035
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"9A"|"9A - SANDY UPLAND - Deep and very deep, sandy uplands with clayey or loamy subsoils within 40 inches; low natural fertility; low to medium water holding capacity with good plant-soil-moisture relationship; medium to high production potential."|575645|2701036
""|"Nontechnical description"|"WSG"|"004"|"1w6 - Wetness causes severe equipment limitations, plant competition, and seedling mortality. Important commercial tree species include sweetgum, water oak, willow oak, and green ash. These soils are suited for hardwoods, and the site index for sweetgum and water oak is 100. The yield from an unmanaged stand of sweetgum over a 50-year period is approximately 310 board feet (Doyle rule) per acre per year. Native species important to wildlife include water oak, willow oak, yaupon, and green ash. High value grasses and forbs used by livestock include pinehill bluestem, switch cane, longleaf uniola, beaked panicum, and sedges. Stocking rates depend on canopy density and range from 8-60 acres per animal unit."|575647|2701037
"06/06/2003 00:00:00"|"Nontechnical description"|"PHG"|"2C"|"2C - WET LOAMY BOTTOMLAND - Deep and very deep, wet, somewhat poorly to very poorly drained, loamy bottomlands with seasonal high water tables; may overflow; medium natural fertility; high to very high water holding capacity but poor plant-soil-moisture relationship; medium production potential."|575647|2701038
""|"Nontechnical description"|"WSG"|"004"|"1w6 - Wetness causes severe equipment limitations, plant competition, and seedling mortality. Important commercial tree species include sweetgum, water oak, willow oak, and green ash. These soils are suited for hardwoods, and the site index for sweetgum and water oak is 100. The yield from an unmanaged stand of sweetgum over a 50-year period is approximately 310 board feet (Doyle rule) per acre per year. Native species important to wildlife include water oak, willow oak, yaupon, and green ash. High value grasses and forbs used by livestock include pinehill bluestem, switch cane, longleaf uniola, beaked panicum, and sedges. Stocking rates depend on canopy density and range from 8-60 acres per animal unit."|575648|2701039
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"2A"|"2A - LOAMY BOTTOMLAND - Deep and very deep, loamy bottomlands with friable loamy subsoils; may overflow; medium natural fertility; medium to high water holding capacity with good plant- soil-moisture relationship; high production potential."|575648|2701040
""|"Nontechnical description"|"WSG"|"022"|"3w6 - Equipment limitations and seedling mortality will be severe during wet periods. Important commercial tree species include water oak, willow oak, green ash, and sweetgum. These soils are suited for hardwoods, and the site index for sweetgum and water oak is 80. The yield from an unmanaged stand of sweetgum over a 50-year period is approximately 120 board feet (Doyle rule) per acre per year. Native species important to wildlife include water oak, willow oak, green ash, and Alabama supplejack. High value grasses and forbs used by livestock include switchgrass, beaked panicum, wildrye, switchcane, and sedges. Stocking rates depend on canopy density and range from 6-50 acres per animal unit."|575649|2701041
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8E2"|"8E2 - WET UPLAND - Deep and very deep, wet, loamy uplands with possible depressed or ponded areas or seasonal water table; poorly to very poorly drained; tight subsoils; medium natural fertility; Very high to high water holding capacity but poor plant-soil-moisture relationship; medium production potential."|575649|2701042
""|"Nontechnical description"|"WSG"|"009"|"2o7 - Soil characteristics do not cause significant management problems. Important commercial tree species include loblolly pine, shortleaf pine, sweetgum, and red oak. These soils are suited for pine and hardwoods, and the site index for loblolly pine and sweetgum is 90. The yield from an unmanaged stand over a 50-year period is approximately 330 board feet (Doyle rule) for loblolly pine, or 210 for sweetgum per acre per year. Native species important to wildlife include red oak, American beautyberry, Alabama supplejack, yaupon, and ash. High value grasses and forbs used by livestock include pinehill bluestem, longleaf uniola, big bluestem, beaked panicum, and little bluestem. Stocking rates depend on canopy density and range from 8-50 acres per animal unit."|575651|2701043
""|"Nontechnical description"|"WSG"|"022"|"3w6 - Equipment limitations and seedling mortality will be severe during wet periods. Important commercial tree species include water oak, willow oak, green ash, and sweetgum. These soils are suited for hardwoods, and the site index for sweetgum and water oak is 80. The yield from an unmanaged stand of sweetgum over a 50-year period is approximately 120 board feet (Doyle rule) per acre per year. Native species important to wildlife include water oak, willow oak, green ash, and Alabama supplejack. High value grasses and forbs used by livestock include switchgrass, beaked panicum, wildrye, switchcane, and sedges. Stocking rates depend on canopy density and range from 6-50 acres per animal unit."|575651|2701044
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8C"|"8C - LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and friable loamy subsoils; slopes 0 to 8 percent; medium natural fertility; medium to high water holding capacity with good plant-soil-moisture relationship; medium to high production potential."|575651|2701045
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8E2"|"8E2 - WET UPLAND - Deep and very deep, wet, loamy uplands with possible depressed or ponded areas or seasonal water table; poorly to very poorly drained; tight subsoils; medium natural fertility; Very high to high water holding capacity but poor plant-soil-moisture relationship; medium production potential."|575651|2701046
""|"Nontechnical description"|"WSG"|"027"|"4c8 - Clayey texture may cause moderate equipment limitations and erosion hazard. Important commercial tree species include loblolly pine, shortleaf pine, sweetgum, and water oak. These soils are suited for pine and hardwoods, and the site index for loblolly pine and sweetgum is 70. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 130 board feet (Doyle rule) or 50 for sweetgum per acre per year. Native species important to wildlife include water oak, red oak, post oak, and yaupon. High value grasses and forbs used by livestock include pinehill bluestem, little bluestem, indiangrass, longleaf uniola, and sedge. Stocking rates depend on canopy density and range from 7-80 acres per animal unit."|575652|2701047
"07/27/2002 00:00:00"|"Nontechnical description"|"PHG"|"7B2"|"7B2 - SLOPING HEAVY CLAYEY UPLAND (CALCAREOUS) - Deep and very deep heavy clayey uplands with slopes greater than 5 percent; dense clayey subsoils; reaction is moderately alkaline throughout; medium to high natural fertility; seasonally wet or droughty; very high to high water holding capacity but poor to fair plant-soil-moisture relationship; medium production potential."|575652|2701048
""|"Nontechnical description"|"WSG"|"018"|"3o1 - No significant management problems are caused by soil characteristics. Important commercial tree species include loblolly pine and shortleaf pine. These soils are suited for pine, and the site index for loblolly pine is 80. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 230 board feet (Doyle rule) per acre per year. Native species important to wildlife include red oak, white oak, American beautyberry, and yaupon. High value grasses and forbs used by livestock include pinehill bluestem, big bluestem, longleaf uniola, indiangrass, and beaked panicum. Stocking rates depend on canopy density and range from 8-50 acres per animal unit."|575653|2701049
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8C"|"8C - LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and friable loamy subsoils; slopes 0 to 8 percent; medium natural fertility; medium to high water holding capacity with good plant-soil-moisture relationship; medium to high production potential."|575653|2701050
""|"Nontechnical description"|"WSG"|"028"|"4f2 - Rock fragments cause seedling mortality to increase during dry periods. Erosion hazards increase with slope. Important commercial tree species include loblolly pine, shortleaf pine, and longleaf pine. These soils are suited for pines, and the site index for loblolly pine is 70. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 130 board feet (Doyle rule) per acre per year. Native species important to wildlife include red oak, post oak, American beautyberry, and tickclover. High value grasses and forbs used by livestock include pinehill bluestem, big bluestem, longleaf uniola, indiangrass, and sedge. Stocking rates depend on canopy density and range from 6-40 acres per animal unit."|575654|2701051
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8C"|"8C - LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and friable loamy subsoils; slopes 0 to 8 percent; medium natural fertility; medium to high water holding capacity with good plant-soil-moisture relationship; medium to high production potential."|575654|2701052
""|"Nontechnical description"|"WSG"|"025"|"4c2 - Clayey texture may cause moderate equipment limitations during wet periods, and erosion may increase with slope. Important commercial tree species include loblolly pine and shortleaf pine. These soils are suited for pines, and the site index for loblolly pine is 70. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 130 board feet (Doyle rule) per acre per year. Native species important to wildlife include red oak, post oak, and American beautyberry. High value grasses and forbs used by livestock include pinehill bluestem, big bluestem, and longleaf uniola. Stocking rates depend on canopy density and range from 6-40 acres per animal unit."|575655|2701053
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8A"|"8A - TIGHT LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and dense subsoils; slopes 0 to 5 percent; low natural fertility; seasonally wet or droughty; medium water holding capacity but poor to fair plant-soil-moisture relationship; medium to high production potential."|575655|2701054
""|"Nontechnical description"|"WSG"|"025"|"4c2 - Clayey texture may cause moderate equipment limitations during wet periods, and erosion may increase with slope. Important commercial tree species include loblolly pine and shortleaf pine. These soils are suited for pines, and the site index for loblolly pine is 70. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 130 board feet (Doyle rule) per acre per year. Native species important to wildlife include red oak, post oak, and American beautyberry. High value grasses and forbs used by livestock include pinehill bluestem, big bluestem, and longleaf uniola. Stocking rates depend on canopy density and range from 6-40 acres per animal unit."|575656|2701055
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8A"|"8A - TIGHT LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and dense subsoils; slopes 0 to 5 percent; low natural fertility; seasonally wet or droughty; medium water holding capacity but poor to fair plant-soil-moisture relationship; medium to high production potential."|575656|2701056
""|"Nontechnical description"|"WSG"|"028"|"4f2 - Rock fragments cause seedling mortality to increase during dry periods. Erosion hazards increase with slope. Important commercial tree species include loblolly pine, shortleaf pine, and longleaf pine. These soils are suited for pines, and the site index for loblolly pine is 70. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 130 board feet (Doyle rule) per acre per year. Native species important to wildlife include red oak, post oak, American beautyberry, and tickclover. High value grasses and forbs used by livestock include pinehill bluestem, big bluestem, longleaf uniola, indiangrass, and sedge. Stocking rates depend on canopy density and range from 6-40 acres per animal unit."|575657|2701057
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"8A"|"8A - TIGHT LOAMY UPLAND - Moderately deep to very deep uplands with loamy surfaces and dense subsoils; slopes 0 to 5 percent; low natural fertility; seasonally wet or droughty; medium water holding capacity but poor to fair plant-soil-moisture relationship; medium to high production potential."|575657|2701058
""|"Nontechnical description"|"WSG"|"032"|"4w9 - Frequent flooding or high water table may cause severe equipment limitations, seedling mortality, and plant competition. Important commercial tree species include loblolly pine, sweetgum, and water oak. These soils are suited for pine and hardwoods, and the site index for loblolly pine, sweetgum and water oak is 70. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 130 board feet (Doyle rule) or 50 for sweetgum per acre per year. Native species important to wildlife include water oak, willow oak, green ash, yaupon, and Alabama supplejack. High value grasses and forbs used by livestock include pinehill bluestem, little bluestem, beaked panicum, and switchgrass. Stocking rates depend on canopy density and range from 10-60 acres per animal unit."|575659|2701059
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"OSI"|"OSI - On site investigation needed for Pasture and Hayland interpretations."|575659|2701060
""|"Nontechnical description"|"WSG"|"001"|"0w0 - These soils do not have potential production for woodland management. They are ponded for long periods of time. Although bald cypress maybe found around the edges, these soils will not support a commercial stand of trees. Only water loving species such as sedges and buttonbush will grow. They have a low potential for wildlife and livestock use."|575661|2700998
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"OSI"|"OSI - On site investigation needed for Pasture and Hayland interpretations."|575661|2700999
